shared-binaries-same-search ; 
Threads ; manol-pipe-c10b ; manol-pipe-c6bid_i ; manol-pipe-c6nidw_i ; manol-pipe-c7idw ; manol-pipe-cha05-113 ; 
1 ; 3.51 ; 12.5 ; 14.0 ; 14.79 ; 2.39 ; 
2 ; 13.5 ; 23.99 ; 26.21 ; 24.57 ; 10.57 ; 
3 ; 20.97 ; 32.62 ; 35.42 ; 30.8 ; 17.36 ; 
4 ; 27.46 ; 38.62 ; 41.23 ; 35.76 ; 23.71 ; 
5 ; 31.19 ; 43.27 ; 44.13 ; 34.35 ; 27.09 ; 
6 ; 38.63 ; 49.03 ; 50.34 ; 41.98 ; 34.56 ; 

shared-all ; 
Threads ; manol-pipe-c10b ; manol-pipe-c6bid_i ; manol-pipe-c6nidw_i ; manol-pipe-c7idw ; manol-pipe-cha05-113 ; 
1 ; 3.4 ; 12.07 ; 13.45 ; 15.3 ; 2.45 ; 
2 ; 9.6 ; 17.94 ; 19.45 ; 22.35 ; 8.54 ; 
3 ; 15.35 ; 21.12 ; 22.61 ; 22.88 ; 12.96 ; 
4 ; 17.7 ; 25.66 ; 26.39 ; 25.22 ; 15.27 ; 
5 ; 21.17 ; 28.32 ; 29.51 ; 27.18 ; 16.78 ; 
6 ; 29.24 ; 43.27 ; 43.67 ; 36.35 ; 24.2 ; 

shared-none-same-search ; 
Threads ; manol-pipe-c10b ; manol-pipe-c6bid_i ; manol-pipe-c6nidw_i ; manol-pipe-c7idw ; manol-pipe-cha05-113 ; 
1 ; 2.62 ; 11.8 ; 13.17 ; 13.67 ; 1.84 ; 
2 ; 15.73 ; 27.21 ; 28.97 ; 30.07 ; 13.18 ; 
3 ; 27.25 ; 37.46 ; 39.28 ; 38.74 ; 23.23 ; 
4 ; 36.39 ; 44.8 ; 46.46 ; 44.59 ; 31.76 ; 
5 ; 43.25 ; 50.26 ; 52.12 ; 49.02 ; 38.65 ; 
6 ; 48.76 ; 54.7 ; 56.34 ; 52.65 ; 44.38 ; 



4.97 ; 0.2 ; 0.59 ; 0.41 ; 4.24 ; 
2.86 ; 2.59 ; 2.33 ; 3.7 ; 1.4 ; 
3.57 ; 2.02 ; 1.36 ; 3.28 ; 1.75 ; 
2.87 ; 1.24 ; 2.45 ; 2.47 ; 0.99 ; 
1.7 ; 2.73 ; 0.63 ; 1.64 ; 1.23 ; 
0.85 ; 0.48 ; 0.51 ; 1.98 ; 0.46 ; 



4.83 ; 0.38 ; 0.25 ; 0.41 ; 5.96 ; 
8.23 ; 7.11 ; 6.43 ; 6.24 ; 0.76 ; 
5.12 ; 0.12 ; 0.08 ; 0.07 ; 8.2 ; 
5.32 ; 3.21 ; 0.07 ; 0.05 ; 5.89 ; 
4.41 ; 0.96 ; 0.08 ; 0.06 ; 2.44 ; 
2.52 ; 1.27 ; 1.76 ; 4.5 ; 2.79 ; 



2.35 ; 0.32 ; 0.19 ; 0.55 ; 2.31 ; 
0.64 ; 0.14 ; 0.11 ; 0.07 ; 1.11 ; 
0.13 ; 0.11 ; 0.08 ; 0.1 ; 0.62 ; 
0.17 ; 0.06 ; 0.04 ; 0.06 ; 0.29 ; 
0.07 ; 0.03 ; 0.08 ; 0.04 ; 0.11 ; 
0.04 ; 0.03 ; 0.04 ; 0.07 ; 0.04 ; 

